POP_TOT,PIB_PER_CAPITA,IDH-M,GINI,IN055_AE,IN056_AE,IN024_AE,IN015_AE,IN022_AE,IN049_AE,IN016_AE,IN015_RS,Índice de pavimentação das vias públicas,CS001_NAO,CS001_SIM,Msau28_Não,Msau28_Sim,Mgrd06_Não,Mgrd06_Sim,Mgrd08_Não,Mgrd08_Sim,Mgrd11_Não,Mgrd11_Sim,Class
-0.07362748425628167,-0.08984644662580646,1.5553010289371525,0.9852142344929941,0.9446313606002418,0.9979405084163181,0.46971325317567536,0.8343677217936226,-0.11733202803339018,-0.1111712582664789,0.3897918481375264,0.5362902106538125,0.575775798644796,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
-0.13899822244242718,-0.25124996636050434,-0.2935747142625951,-0.8321922898109917,-0.5879286110699488,-0.22408127951813817,0.46971325317567536,0.8343677217936226,0.08674437169738186,-1.0869675237777183,0.3897918481375264,-0.17889945800429247,0.4737992341365994,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
-0.07926252118787352,-0.17648249222973542,-0.7557936500625321,0.37358703881376776,0.9067348650727725,0.8795315180585749,0.4217838356218622,-0.10046909136377712,-0.8928223470103239,2.868011395247666,-1.4715854145866496,-0.2577537035230064,0.6312367372369735,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
-0.1324947649053166,-0.4343392772178345,1.2779696674571903,1.264815238232069,0.9446313606002418,0.9015730184281985,0.46971325317567536,0.5540325188393588,0.05613291173776598,0.6850729697126147,0.38002083888438093,0.406089014564773,-0.43146640869054803,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
-0.10973697330510948,-0.29165968624597366,0.16864422153734177,0.041560846873617344,0.9446313606002418,0.972310856823733,0.46971325317567536,0.07618842289459131,0.2461790589870475,1.0061948829912601,-0.08598114088100907,0.6408179314576881,0.6383929873778994,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.13290850375459598,-0.18083413413470367,0.5384193701772914,0.6357129798191504,-0.8410001235754202,-1.5588735344599685,-1.4691814663059184,-0.710371919278735,0.30612650140796205,0.8204275826214632,0.3897918481375264,0.6967494311860796,-0.9297203247525265,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
-0.1423835543810623,-0.034247469782546974,3.52743515501688,1.4919910537700674,0.9446313606002418,1.0035790317666868,-0.09195960878307138,0.5986313011275377,3.5279826621575254,-0.4495577905386003,0.3897918481375264,0.7719360373783412,0.4424906397700483,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
-0.067177898965171,0.6950035773881311,0.16864422153734177,-0.48269103513714806,0.46867706931457087,0.578639408361626,0.46971325317567536,0.8343677217936226,-0.23977786787185335,0.5835570100309778,0.3897918481375264,0.7343427342822103,0.014010162582100411,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
-0.13514096962883276,-0.5482866156604452,-0.8482374372225194,-0.23804015686545754,-0.8326500482897069,-1.8295226552776669,-2.1117352203867243,-1.1783695308222162,-0.30482722028603687,0.11050644960974727,0.3897918481375264,0.6894141525331747,-1.7947320605369659,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
-0.13879566279746747,-0.3500500404604947,0.045385838657358596,-1.653520238294523,-0.14794387486119787,-0.271752431480346,0.46971325317567536,0.8343677217936226,-0.03315051314444679,-0.5358808855059781,0.3897918481375264,-0.29259627712429825,-0.8152203224977093,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
-0.14093762329842438,-0.40001220021235967,-1.6186023302224108,-0.6050164742729933,-0.17235178723482175,0.05169377161807766,0.46971325317567536,0.6524973628522202,-0.3941106451682496,-1.0020255983298187,0.3897918481375264,1.303007240399202e-15,0.15445157159777398,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
-0.11213321080718602,0.22146442294567814,-0.2935747142625951,-0.20309003139807316,0.14238181968822697,0.363350334983912,0.46971325317567536,0.007842237050370442,0.2767905189466634,1.1905810138415795,0.3897918481375264,-0.2192434905952622,0.43622892089673865,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
-0.1400972162608256,-0.37006643654053584,-1.2180125858624689,-1.653520238294523,-0.5969209998391788,-0.28559244334034245,0.46971325317567536,0.8337885168288407,-0.2818686253163252,-0.8708144939794042,0.3897918481375264,0.7719360373783412,0.4684320465309059,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
-0.11109239901446752,4.226940079034803,0.8157507316572534,-0.5176411606045324,-0.668217796509502,-1.2144110170556253,-1.5620447128164308,-1.4239524358895876,-0.4323749701177694,1.2713794307310446,0.3897918481375264,0.7022508901757561,0.6598617378006785,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
-0.13993775441266584,-0.20571639306595496,-0.35520390570258675,-0.7273419134088386,-1.15187984959737,-0.6695246241972665,0.21658601671960048,-0.9947615569864691,-0.0012635756865136559,-1.2340620776021303,0.3897918481375264,-2.22085765300634,0.5301547039963931,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
