CodigoMunicipio,MunicipioResidencia,Total_casos_dengue,POP_TOT,PIB_PER_CAPITA,IDH-M,GINI,IN055_AE,IN056_AE,IN024_AE,IN015_AE,IN022_AE,IN049_AE,IN016_AE,IN015_RS,Índice de pavimentação das vias públicas,CS001,Msau28,Mgrd06,Mgrd08,Mgrd11,IndiceSurto,Surto
351390,DIVINOLANDIA,185,11158,44568.55,0.734,0.483,60.75,56.45,100.0,83.66,184.9,19.99,87.89,89.62,92.45,NAO,Sim,Não,Sim,Não,1658.0032263846567,True
351400,DOBRADA,176,8759,15286.82,0.718,0.387,97.84,97.84,100.0,79.95,358.2,19.18,100.0,97.84,99.83,NAO,Sim,Não,Não,Não,2009.3617992921563,True
351410,DOIS CORREGOS,4338,24510,30150.85,0.725,0.472,98.61,98.61,99.63,99.27,163.5,52.63,100.0,93.37,92.89,SIM,Sim,Não,Não,Não,17698.89840881273,True
351420,DOLCINOPOLIS,83,2207,27963.37,0.742,0.363,93.34,91.57,100.0,99.99,188.9,16.64,100.0,100.0,99.85,NAO,Sim,Não,Não,Não,3760.761214318079,True
351430,DOURADO,152,8096,90318.49,0.738,0.379,94.44,92.69,100.0,98.06,183.2,29.26,100.0,92.95,99.12,NAO,Sim,Não,Não,Não,1877.4703557312253,True
351440,DRACENA,146,45474,30557.62,0.776,0.447,99.5,91.89,100.0,96.0,169.8,23.04,100.0,91.89,97.45,SIM,Sim,Não,Sim,Sim,321.06258521352856,True
351450,DUARTINA,147,12328,20338.59,0.748,0.432,80.93,80.39,100.0,99.99,157.6,24.11,100.0,89.77,99.42,NAO,Sim,Não,Não,Não,1192.4075275794935,True
351460,DUMONT,1078,9471,33647.69,0.744,0.391,100.0,100.0,,80.0,171.1,38.0,100.0,96.51,97.43,NAO,Não,Não,Não,Não,11382.113821138211,True
351470,ECHAPORA,62,6205,25295.64,0.745,0.542,84.56,82.21,100.0,97.62,166.5,19.83,100.0,77.34,98.14,SIM,Sim,Não,Não,Sim,999.194198227236,True
351480,ELDORADO,548,13069,21122.95,0.691,0.504,47.52,46.75,98.37,94.5,160.6,23.93,100.0,82.03,86.52,SIM,Sim,Sim,Sim,Sim,4193.128778024333,True
351490,ELIAS FAUSTO,899,17699,55521.14,0.695,0.434,75.43,73.99,100.0,100.0,170.2,19.93,100.0,100.0,90.57,NAO,Sim,Não,Não,Não,5079.383015989604,True
351492,ELISIARIO,351,3138,20323.57,0.747,0.334,100.0,100.0,100.0,90.31,133.5,48.59,100.0,100.0,98.56,NAO,Sim,Não,Não,Não,11185.46845124283,True
351495,EMBAUBA,127,2323,23385.21,0.73,0.366,100.0,100.0,,92.42,140.4,0.84,100.0,,100.0,NAO,Não,Não,Não,Não,5467.068445975033,True
